experiment, filename , dur , f0mnhz , f0mdhz , f0sdhz , f0mihz , f0mahz , f0rghz , f0mnvst , f0mdvst , f0sdvst , f0mivst , f0mavst , f0rgvst, inmn , inmd , inrange , jitloc , jitrap , jitppq5 , periodsd , shimloc , shimapq11 , shimapq3 , h1mh2mn , slopen0114 , slopen5228 , mnHNR , mnNHR, jitlocvr , jitrapvr , shimlocvr , shimapq3vr 
F0,eq_08Perc_HiF0_1_10_con,1.923,98.3,93,13.6,82.4,126.1,43.7,79.27,78.47,2.34,-3.35,4.01,7.36,70,67.6,25.9,0.01559,0.00428,0.00808,0.0025,0.10263,0.08678,0.03331,-1.66,-19.6,-25.7,14.3,0.11,0.01559,0.00428,0.10263,0.03331
F0,eq_08Perc_HiF0_1_1_con,1.797,100.7,98.2,14.6,75.8,124.3,48.5,79.67,79.42,2.5,-4.75,3.76,8.51,70,69.7,21.1,0.01789,0.00388,0.00715,0.0014,0.12728,0.0971,0.0563,0.16,-19,-21.1,14.1,0.081,0.01789,0.00388,0.12728,0.0563
F0,eq_08Perc_HiF0_1_2_con,1.829,102.1,102.4,16.1,80.9,128.8,47.9,79.86,80.14,2.76,-3.66,4.38,8.04,70,68.8,23,0.01382,0.00432,0.0083,0.0028,0.09515,0.1347,0.04512,-2.88,-18.2,-17,13.5,0.1335,0.01394,0.00435,0.09515,0.04512
F0,eq_08Perc_HiF0_1_4_con,1.636,104.9,106,9.2,88.2,120.7,32.5,80.5,80.73,1.52,-2.17,3.25,5.42,70,69.7,27.7,0.01539,0.00413,0.00877,0.0009,0.13165,0.1306,0.04885,-2.88,-17.2,-15.6,14.9,0.0777,0.01539,0.00413,0.13165,0.04885
F0,eq_08Perc_HiF0_1_5_con,2.786,99.5,99.7,11.5,81.6,130.9,49.3,79.52,79.68,1.96,-3.49,4.66,8.15,70,69.1,20.1,0.01621,0.00579,0.00969,0.0011,0.10901,0.09031,0.04569,-3.02,-16,-15.4,13.4,0.126,0.01621,0.00579,0.10901,0.04569
F0,eq_08Perc_HiF0_1_6_con,2.007,101.1,99.7,14.1,81,122.7,41.7,79.74,79.67,2.45,-3.64,3.53,7.17,70,67.3,25.2,0.0183,0.00585,0.01098,0.0013,0.12298,0.12546,0.05341,-2.08,-20.1,-25.2,13.7,0.1414,0.0183,0.00585,0.12298,0.05341
F0,eq_08Perc_HiF0_1_7_con,1.856,99.1,94.7,13.3,82.8,130.7,47.9,79.42,78.78,2.26,-3.27,4.64,7.91,70,68.2,25.3,0.01573,0.00523,0.01057,0.0013,0.1076,0.09814,0.04057,-3.16,-13.9,-21.1,14.6,0.1261,0.01573,0.00523,0.1076,0.04057
F0,eq_08Perc_HiF0_1_9_con,1.965,103,97.1,19.7,81.1,148.8,67.7,79.94,79.22,3.13,-3.63,6.88,10.51,70,69.5,14.9,0.01556,0.00411,0.0079,0.0017,0.15557,0.15016,0.07006,1.13,-17.2,-21.3,13.9,0.1194,0.01556,0.00411,0.15557,0.07006
F0,eq_08Perc_HiF0_2_10_con,2.119,207.8,199.9,25.9,167.2,255.6,88.4,92.26,91.72,2.14,8.9,16.25,7.35,70,68.3,18.2,0.00585,0.00119,0.00234,0.0006,0.09879,0.0779,0.04277,3.69,-14.3,-14.9,13.8,0.1152,0.00585,0.00119,0.09879,0.04277
F0,eq_08Perc_HiF0_2_1_con,2.24,239.5,247.3,36.7,169.1,291.1,122,94.63,95.4,2.75,9.1,18.5,9.39,70,69.3,21.8,0.00743,0.00148,0.0028,0.0007,0.10381,0.09088,0.04597,5.24,-16.6,-18.7,15.2,0.0834,0.00743,0.00148,0.10381,0.04597
